CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
6117,17,2,1-17-2017-002-09,9,1,1,2,1415.1062926472,4,2
6111,19,4,1-19-2017-004-05,5,1,1,2,84.4524216922148,9,2
6112,19,5,1-19-2017-005-03,3,1,1,2,639.392649632869,9,2
6200,22,5,1-22-2017-005-04,4,1,1,2,220.136301508367,12,2
6192,26,2,1-26-2017-002-09,9,1,1,2,3498.03165471544,10,2
6184,17,6,1-17-2017-006-04,4,1,1,2,214.939687324865,4,2
6256,22,9,1-22-2017-009-09,9,1,1,2,302.835159341122,12,2
6124,31,1,1-31-2017-001-10,10,1,1,2,1073.84216837139,6,2
6257,22,10,1-22-2017-010-06,6,1,1,2,94.797052813258,12,2
6322,22,12,1-22-2017-012-07,7,1,1,2,166.543174350512,12,2
6312,19,18,1-19-2017-018-03,3,1,1,2,252.846410865255,9,2
6238,12,3,1-12-2017-003-04,4,2,1,2,2969.00932898461,9,2
6308,29,3,1-29-2017-003-10,10,1,1,2,20830.7351125155,2,2
6362,19,19,1-19-2017-019-06,6,1,1,2,417.704209858924,9,2
6274,30,7,1-30-2017-007-03,3,1,1,2,195.270340617582,10,2
6274,30,7,1-30-2017-007-03,3,1,2,2,195.270340617582,10,2
6274,30,7,1-30-2017-007-03,3,1,3,2,195.270340617582,10,2
6274,30,7,1-30-2017-007-03,3,1,4,2,195.270340617582,10,2
6260,33,4,1-33-2017-004-09,9,1,1,2,275.58801350289,12,2
6165,23,4,1-23-2017-004-06,6,1,1,2,561.326705636604,5,2
6390,24,14,1-24-2017-014-01,1,2,1,2,176.182961823483,1,2
6382,28,7,1-28-2017-007-03,3,1,3,2,302.814064043019,3,2
6219,30,6,1-30-2017-006-04,4,1,1,2,759.796183896963,10,2
6151,25,3,1-25-2017-003-06,6,1,1,2,438.207071902862,2,2
6493,13,16,1-13-2017-016-04,4,1,1,2,2740.02107410605,7,2
6510,33,16,1-33-2017-016-05,5,1,1,2,68.0497986758237,12,2
6323,33,7,1-33-2017-007-09,9,1,1,2,766.822710622516,12,2
6383,14,8,1-14-2017-008-08,8,1,3,2,1502.31800595479,8,2
6544,22,22,1-22-2017-022-08,8,1,1,2,135.032270274358,12,2
6538,29,9,1-29-2017-009-09,9,1,1,2,2720.74723027127,2,2
6386,16,13,1-16-2017-013-09,9,1,1,2,1126.03630615239,5,2
6525,24,21,1-24-2017-021-03,3,1,1,2,494.857893190686,1,2
6576,32,21,1-32-2017-021-10,10,1,1,2,20830.7351125155,7,2
6473,24,19,1-24-2017-019-02,2,1,1,2,89.5901504128533,1,2
6253,13,8,1-13-2017-008-01,1,1,1,2,188.955712734655,7,2
6253,13,8,1-13-2017-008-01,1,1,2,2,188.955712734655,7,2
6596,22,25,1-22-2017-025-03,3,1,1,2,166.374615766795,12,2
6462,14,10,1-14-2017-010-07,7,1,1,2,2445.71364449741,8,2
6592,18,12,1-18-2017-012-04,4,1,1,2,2398.10824569296,6,2
6599,31,10,1-31-2017-010-08,8,1,1,2,533.585408156618,6,2
6631,16,25,1-16-2017-025-02,2,1,1,2,47.7728281997967,5,2
6567,28,12,1-28-2017-012-10,10,1,1,2,2590.76862324372,3,2
6444,13,14,1-13-2017-014-02,2,2,1,2,138.181072664633,7,2
6444,13,14,1-13-2017-014-02,2,2,2,2,138.181072664633,7,2
6444,13,14,1-13-2017-014-02,2,2,3,2,138.181072664633,7,2
6444,13,14,1-13-2017-014-02,2,2,4,2,138.181072664633,7,2
6677,22,29,1-22-2017-029-04,4,1,1,2,228.219701563568,12,2
6543,18,11,1-18-2017-011-06,6,1,1,2,726.609016579401,6,2
6709,32,28,1-32-2017-028-05,5,1,1,2,257.945260582092,7,2
6618,14,15,1-14-2017-015-03,3,1,1,2,1955.82995505533,8,2
6691,18,15,1-18-2017-015-09,9,1,1,2,958.545340626328,6,2
6674,19,35,1-19-2017-035-06,6,1,1,2,575.359126718658,9,2
6743,32,29,1-32-2017-029-09,9,1,1,2,11898.5904414158,7,2
6754,18,17,1-18-2017-017-09,9,1,1,2,2543.89401154685,6,2
6639,18,13,1-18-2017-013-06,6,1,1,2,385.190322042092,6,2
6666,11,13,1-11-2017-013-05,5,1,1,2,533.608977976811,8,2
6345,23,9,1-23-2017-009-03,3,1,1,2,187.820886282507,5,2
6130,23,3,1-23-2017-003-06,6,1,1,2,474.463369126954,5,2
6799,31,15,1-31-2017-015-03,3,2,1,2,749.398250761231,6,2
6804,26,21,1-26-2017-021-03,3,1,1,2,1072.7157378518,10,2
6776,24,33,1-24-2017-033-09,9,1,1,2,3538.97814112905,1,2
6679,21,13,1-21-2017-013-08,8,1,1,2,871.906857628612,11,2
6399,11,1,1-11-2017-001-06,6,1,1,2,1680.59640563005,8,2
6399,11,1,1-11-2017-001-06,6,1,2,2,1680.59640563005,8,2
6824,29,16,1-29-2017-016-03,3,1,1,2,1318.37167531291,2,2
6667,11,14,1-11-2017-014-05,5,1,1,2,533.608977976811,8,2
6811,28,18,1-28-2017-018-06,6,1,1,2,185.209716714862,3,2
6684,15,15,1-15-2017-015-06,6,1,1,2,1196.75176319565,1,2
6719,18,16,1-18-2017-016-03,3,1,1,2,208.07525317884,6,2
6643,33,23,1-33-2017-023-06,6,1,1,2,151.55835338118,12,2
6548,20,19,1-20-2017-019-10,10,1,1,2,3008.70123621791,11,2
6222,14,4,1-14-2017-004-10,10,1,1,2,5496.44877828333,8,2
6730,21,14,1-21-2017-014-04,4,2,1,2,2221.76994369018,11,2
6855,28,19,1-28-2017-019-06,6,1,3,2,154.889477796316,3,2
6867,19,45,1-19-2017-045-02,2,1,1,2,178.303649458387,9,2
6875,22,41,1-22-2017-041-08,8,1,1,2,113.695698457785,12,2
6830,18,19,1-18-2017-019-08,8,1,1,2,703.273619459784,6,2
6796,18,18,1-18-2017-018-03,3,1,1,2,329.590173474336,6,2
6682,13,24,1-13-2017-024-03,3,1,1,2,1287.6958482298,7,2
6749,17,21,1-17-2017-021-07,7,1,1,2,1152.79836779502,4,2
6451,33,14,1-33-2017-014-03,3,1,1,2,138.480705828584,12,2
6893,28,20,1-28-2017-020-03,3,1,1,2,444.763935195519,3,2
6206,20,3,1-20-2017-003-02,2,1,1,2,39.0673380453663,11,2
6372,20,12,1-20-2017-012-07,7,1,1,2,670.91945689348,11,2
6645,13,22,1-13-2017-022-06,6,1,1,2,2455.12215097887,7,2
6645,13,22,1-13-2017-022-06,6,1,2,2,2455.12215097887,7,2
6356,22,14,1-22-2017-014-01,1,1,1,2,91.2520349196253,12,2
6720,33,27,1-33-2017-027-07,7,2,3,2,759.165826374916,12,2
6725,15,16,1-15-2017-016-05,5,2,1,2,165.942224003426,1,2
6729,20,29,1-20-2017-029-09,9,1,1,2,726.269869888516,11,2
6885,26,23,1-26-2017-023-03,3,1,1,2,1592.59780310843,10,2
6716,16,29,1-16-2017-029-04,4,1,1,2,2622.78984691832,5,2
6960,22,46,1-22-2017-046-01,1,1,1,2,96.8900178613484,12,2
6799,31,15,1-31-2017-015-03,3,1,1,2,749.398250761231,6,2
6971,20,46,1-20-2017-046-02,2,1,1,2,39.0673380453663,11,2
6948,12,21,1-12-2017-021-03,3,1,1,2,1881.9311135103,9,2
6550,15,11,1-15-2017-011-02,2,1,1,2,59.527837384159,1,2
6526,24,22,1-24-2017-022-06,6,1,1,2,959.779082034474,1,2
6505,31,7,1-31-2017-007-04,4,2,1,2,2792.73572987369,6,2
6992,22,48,1-22-2017-048-03,3,1,1,2,298.497607046477,12,2
6946,19,50,1-19-2017-050-03,3,1,1,2,292.080491700682,9,2
6218,30,5,1-30-2017-005-07,7,1,1,2,889.340757753611,10,2
6346,23,10,1-23-2017-010-07,7,1,3,2,713.344145964472,5,2
6836,33,34,1-33-2017-034-08,8,1,1,2,217.884133565871,12,2
6908,16,35,1-16-2017-035-04,4,1,1,2,14605.2788264847,5,2
6951,16,37,1-16-2017-037-06,6,1,1,2,986.065239615079,5,2
6228,10,3,1-10-2017-003-09,9,2,1,2,1098.36140168446,4,2
