CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,CASEWGT,PSUSTRAT,VERSION
6035,23,1,1-23-2017-001-04,4,403.95683429,371.75177731,384.61179864,389.48648962,387.23341537,386.77577547,398.97462328,376.10663759,802.42258332,0,387.10978748,386.88539139,356.94043465,430.88014564,383.05250112,425.02363155,388.37604708,386.92885077,393.75360199,382.42250982,389.15055959,384.88561361,387.28224995,386.72173577,387.004656586397,5,2
6042,32,1,1-32-2017-001-09,9,468.53831401,416.48316555,448.02588111,431.87346801,439.6873994,440.29697592,445.32365894,434.75289067,442.93053233,437.39907603,443.25855806,440.904105,0,839.5838282,462.38678883,448.42188601,440.76844371,440.82375968,425.27078742,454.50977925,448.62186123,432.15456653,439.86124229,440.12146071,439.988808087459,7,2
6045,17,1,1-17-2017-001-10,10,245.11222044,173.1801335,207.48815391,218.76757231,199.24904998,201.31334858,0,398.55929567,187.67314806,213.55408298,206.43060696,201.08362321,232.32881728,208.42431447,187.40974406,219.81284557,197.96169503,208.64280696,225.41229631,201.36038877,192.16504733,208.26358066,200.59248726,199.76164756,200.166808861819,4,2
6050,13,1,1-13-2017-001-04,4,2403.4264502,2211.8156661,2288.3290774,2317.3320803,2303.9269395,2301.2041143,2373.7837342,2237.7258265,2387.0912648,2281.7734841,2303.1913893,2301.8562973,4247.3849133,0,2279.0517077,2528.7678072,2310.725268,2302.1148681,2342.720166,2275.3034415,2315.3333937,2289.9581974,2304.2174912,2300.8825937,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,39.176070299,27.6792282,33.162648885,34.965428393,31.845800161,32.175735187,32.133456101,31.850690588,29.995633953,34.132160985,32.993622087,32.139018385,37.132910232,33.312274603,29.953534323,35.132493497,31.640043352,33.347196064,36.027448777,32.18325358,0,66.573169318,32.060520558,31.92772818,31.9924847541354,11,2
6062,16,1,1-16-2017-001-10,10,117.64579794,83.120763849,99.587484399,105.00123397,95.632985704,96.623781083,96.496816925,95.647671666,0,204.99786138,99.079896673,96.513520471,111.51018519,100.03681065,89.95050855,105.50293073,95.015097698,100.14167986,108.19048278,96.646358829,92.232897601,99.959663716,96.27779138,95.879015668,96.0734797580618,5,2
6068,19,1,1-19-2017-001-06,6,252.1311934,249.9009395,250.60197247,251.29011914,233.35940703,271.36669733,250.79523336,251.09209673,252.25642015,249.73873062,215.11730717,299.66590753,258.00593456,259.13024044,285.84572335,257.62355703,678.35768635,0,248.54001978,253.74291405,251.91193313,250.01180365,247.53298236,254.69837057,250.94245606192,9,2
6085,30,1,1-30-2017-001-03,3,70.108266316,76.462250981,73.129416702,73.35357978,73.23997355,73.23997355,73.008385666,73.469973046,71.294966962,75.262840183,73.23997355,73.23997355,71.942018274,74.451481908,74.005784274,73.896724652,73.23997355,73.714501814,0,148.4046842,74.114181345,72.417669848,73.23997355,73.23997355,73.2399735499352,10,2
6092,14,1,1-14-2017-001-05,5,217.54674902,229.27083351,223.66605828,222.73372526,222.91240065,223.48516405,255.11251953,202.80851511,223.23201707,223.42314231,222.69843465,232.18266946,214.44214468,232.89146067,0,509.0445452,216.67691667,238.44478857,228.17731707,219.73630215,224.02261472,222.42465032,223.58885546,222.86654844,223.196555918989,8,2
6093,23,2,1-23-2017-002-07,7,958.61373492,903.80736267,909.91665199,949.99111718,929.57882393,928.64122337,963.92049117,898.25955562,1777.3324665,0,929.52250006,928.645141,1098.3508862,813.12074415,997.89690911,968.00193181,928.39734166,937.35097955,976.33137848,926.19463602,930.44126428,927.62614711,929.24338583,928.97230439,929.1099817139,5,2
